"","Sample.ID","Sampling.Site","Start.Date.Time","Stop.Date.Time","Phase","Mud","Ethane","Ethene","Propane","Propene","i.Butane","n.Butane","Ethyne","trans.2.Butene","X1.Butene","cis.2.Butene","Cycopentane","i.Pentane","n.Pentane","trans.2.Pentene","X1.Pentene","cis.2.Pentene","n.Hexane","Isoprene","X2.4.Dimethylpentane","n.Heptane","Benzene","Cyclohexane","X2.3.Dimethylpentane","X2.Methylhexane","X3.Methylhexane","X2.2.4.Trimethylpentane","Methylcyclohexane","X2.3.4.Trimethylpentane","Toluene","X2.Methylheptane","X3.Methylheptane","n.Octane","Ethylbenzene","m..and.p.Xylene","Styrene","o.Xylene","n.Nonane","i.Propylbenzene","n.Propylbenzene","X3.Ethyltoluene","X4.Ethyltoluene","X1.3.5.Trimethylbenzene","X2.Ethyltoluene","X1.2.4.Trimethylbenzene","n.Decane","X1.2.3.Trimethylbenzene","X1.3.Diethylbenzene","X1.4.Diethylbenzene","C2HCl3","C2Cl4","Methane","Ozone"
"34","SS-6.0-17_CCOB_ANTHEM_01_IMPACT_20200305_20200312","Anthem",2020-03-05,2020-03-12,"pre",NA,29.732,0.499,14.112,0.098,2.495,6.459,0.437,0.013,0.02,0.014,0.189,2.138,2.232,0.004,0.018,0.007,1.134,0.002,0.055,0.514,0.274,0.472,0.252,0.099,0.271,0.128,0.864,0.011,0.509,0.161,0.08,0.287,0.039,0.232,0.008,0.055,0.054,0.009,0.012,0.011,0.015,0.005,0.009,0.01,0.013,0.078,0.011,0.007,0.013,0.001,2025,49.05885
"35","SS-6.0-34_CCOB_ANTHEM_01_IMPACT_20200312_20200319","Anthem",2020-03-12,2020-03-19,"pre",NA,18.511,0.723,10.814,0.107,1.903,5.277,0.637,0.017,0.028,0.017,0.129,1.495,1.638,0.004,0.018,0.007,0.653,0.002,0.035,0.217,0.184,0.23,0.098,0.044,0.133,0.09,0.313,0.011,0.274,0.074,0.037,0.127,0.026,0.1,0.008,0.03,0.057,0.009,0.012,0.012,0.015,0.005,0.009,0.02,0.041,0.078,0.011,0.007,0.015,0.004,2057,34.1766
"36","SS-6.0-54_CCOB_ANTHEM_01_IMPACT_20200319_20200326","Anthem",2020-03-19,2020-03-26,"pre",NA,10.966,0.476,5.008,0.091,0.893,2.385,0.403,0.01,0.019,0.006,0.088,0.82,0.896,0.004,0.018,0.007,0.478,0.002,0.036,0.238,0.143,0.21,0.101,0.028,0.123,0.055,0.371,0.011,0.262,0.066,0.044,0.153,0.034,0.115,0.008,0.035,0.056,0.009,0.012,0.013,0.015,0.005,0.009,0.017,0.013,0.078,0.011,0.007,0.01,0.002,1919,48.0231
"37","SS-6.0-27_CCOB_ANTHEM_01_IMPACT_20200326_20200402","Anthem",2020-03-26,2020-04-02,"pre",NA,7.035,0.369,3.173,0.081,0.527,1.32,0.379,0.008,0.016,0.006,0.041,0.404,0.41,0.004,0.018,0.007,0.167,0.002,0.012,0.054,0.082,0.08,0.016,0.013,0.032,0.025,0.061,0.011,0.099,0.014,0.01,0.03,0.024,0.053,0.008,0.011,0.011,0.009,0.012,0.007,0.015,0.005,0.009,0.012,0.033,0.078,0.011,0.007,0.009,0.001,1919,48.3731
"38","SS-6.0-10_CCOB_ANTHEM_01_IMPACT_20200402_20200409","Anthem",2020-04-02,2020-04-09,"pre",NA,7.484,0.483,3.52,0.093,0.591,1.568,0.404,0.01,0.026,0.006,0.043,0.491,0.488,0.004,0.018,0.007,0.204,0.004,0.012,0.061,0.117,0.089,0.016,0.019,0.03,0.024,0.07,0.011,0.159,0.033,0.029,0.037,0.015,0.048,0.008,0.011,0.011,0.009,0.012,0.007,0.015,0.005,0.009,0.013,0.028,0.078,0.011,0.007,0.011,0.003,1933,52.8733
"39","SS-6.0-57_CCOB_ANTHEM_01_IMPACT_20200409_20200416","Anthem",2020-04-09,2020-04-16,"pre",NA,7.077,0.392,3.032,0.072,0.46,1.188,0.374,0.007,0.016,0.006,0.032,0.34,0.364,0.004,0.018,0.007,0.161,0.002,0.012,0.055,0.111,0.062,0.035,0.023,0.045,0.012,0.046,0.011,0.084,0.014,0.005,0.029,0.004,0.025,0.008,0.011,0.025,0.009,0.012,0.003,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.006,0.001,1946,52.8002
"40","SS-6.0-43_CCOB_ANTHEM_01_IMPACT_20200416_20200423","Anthem",2020-04-16,2020-04-23,"pre",NA,12.478,0.636,5.912,0.111,0.967,2.491,0.589,0.012,0.017,0.006,0.075,0.802,0.828,0.004,0.018,0.007,0.389,0.005,0.026,0.124,0.146,0.151,0.074,0.031,0.071,0.047,0.185,0.011,0.221,0.038,0.021,0.076,0.021,0.07,0.008,0.036,0.038,0.009,0.012,0.008,0.015,0.005,0.009,0.013,0.013,0.078,0.011,0.007,0.013,0.003,1984,56.90015
"41","SS-6.0-09_CCOB_ANTHEM_01_IMPACT_20200423_20200430","Anthem",2020-04-23,2020-04-30,"pre",NA,7.581,0.591,3.306,0.112,0.563,1.541,0.584,0.009,0.028,0.006,0.054,0.6,0.582,0.004,0.018,0.007,0.279,0.01,0.012,0.124,0.119,0.113,0.059,0.032,0.049,0.042,0.139,0.011,0.187,0.031,0.011,0.075,0.03,0.09,0.008,0.036,0.055,0.009,0.012,0.012,0.015,0.005,0.009,0.02,0.041,0.078,0.011,0.007,0.009,0.001,1931,54.6913
"42","SS-6.0-04_CCOB_ANTHEM_01_IMPACT_20200430_20200507","Anthem",2020-04-30,2020-05-07,"pre",NA,5.795,0.378,2.621,0.065,0.471,1.272,0.389,0.009,0.008,0.006,0.033,0.462,0.428,0.004,0.018,0.007,0.184,0.01,0.012,0.076,0.092,0.039,0.016,0.02,0.046,0.041,0.07,0.011,0.163,0.014,0.005,0.044,0.023,0.076,0.008,0.011,0.03,0.009,0.012,0.011,0.015,0.005,0.009,0.017,0.013,0.078,0.011,0.007,0.01,0.003,1903,55.3938
"43","SS-6.0-26_CCOB_ANTHEM_01_IMPACT_20200507_20200514","Anthem",2020-05-07,2020-05-14,"pre",NA,7.691,0.321,3.61,0.081,0.579,1.538,0.355,0.007,0.008,0.006,0.04,0.482,0.502,0.004,0.018,0.007,0.224,0.002,0.012,0.077,0.088,0.068,0.038,0.024,0.049,0.012,0.064,0.011,0.484,0.014,0.005,0.054,0.022,0.05,0.008,0.011,0.025,0.009,0.012,0.003,0.015,0.005,0.009,0.011,0.013,0.078,0.011,0.007,0.009,0.003,2003,49.75595
