State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-07,Parts per million,None,17,100,0.043235,0.045,14,42,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-08,Parts per million,None,17,100,0.041353,0.043,9,40,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-09,Parts per million,None,17,100,0.018941,0.024,22,22,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-10,Parts per million,None,17,100,0.025765,0.037,23,34,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-11,Parts per million,None,17,100,0.031118,0.04,7,37,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-12,Parts per million,None,17,100,0.024353,0.03,7,28,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-13,Parts per million,None,17,100,0.041706,0.043,17,40,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-14,Parts per million,None,17,100,0.044,0.05,10,46,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-15,Parts per million,None,17,100,0.036118,0.044,10,41,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-16,Parts per million,None,17,100,0.036118,0.05,20,46,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-17,Parts per million,None,17,100,0.044176,0.047,11,44,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-18,Parts per million,None,17,100,0.040529,0.05,7,46,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-19,Parts per million,None,17,100,0.031647,0.034,21,31,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-20,Parts per million,None,17,100,0.025647,0.034,7,31,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-21,Parts per million,None,17,100,0.038412,0.041,8,38,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-22,Parts per million,None,17,100,0.041294,0.046,19,43,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-23,Parts per million,None,17,100,0.042118,0.05,10,46,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-24,Parts per million,None,17,100,0.048353,0.05,10,46,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-25,Parts per million,None,17,100,0.048294,0.05,13,46,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-26,Parts per million,None,17,100,0.046059,0.048,15,44,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
