Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS-6.0-16_CCOB Interchange 01 OG_20190912_20190919,CCOB_INTERCHANGE_01_OG,2019-09-12,2019-09-19,pre,NA,9.192,0.641,4.6,0.134,0.769,2.054,0.455,0.007,0.024,0.006,0.075,0.911,0.83,0.004,0.018,0.007,0.395,0.037,0.012,0.157,0.167,0.171,0.087,0.039,0.096,0.06,0.178,0.011,0.429,0.045,0.036,0.106,0.041,0.21,0.008,0.06,0.094,0.009,0.012,0.021,0.015,0.005,0.009,0.036,0.141,0.078,0.011,0.007,0.024,0.002,1935
SS-6.0-47_CCOB Interchange 02 OG_20190919_20190926,CCOB_INTERCHANGE_02_OG,2019-09-19,2019-09-26,pre,NA,8.278,0.529,4.357,0.132,0.926,1.926,0.331,0.018,0.034,0.006,0.056,0.787,0.733,0.004,0.018,0.007,0.304,0.027,0.035,0.129,0.146,0.132,0.061,0.03,0.078,0.067,0.139,0.011,0.305,0.033,0.021,0.077,0.037,0.14,0.008,0.057,0.058,0.009,0.012,0.014,0.015,0.005,0.009,0.03,0.083,0.078,0.011,0.007,0.013,0.002,2026
SS-6.0-03_CCOB Interchange 01 OG_20190919_20190926,CCOB_INTERCHANGE_01_OG,2019-09-19,2019-09-26,pre,NA,7.652,0.555,4.16,0.102,0.704,1.959,0.355,0.007,0.028,0.014,0.063,0.804,0.708,0.004,0.018,0.007,0.318,0.02,0.026,0.121,0.13,0.119,0.061,0.027,0.058,0.053,0.112,0.011,0.291,0.029,0.014,0.077,0.047,0.167,0.008,0.046,0.054,0.009,0.012,0.012,0.015,0.005,0.009,0.021,0.085,0.078,0.011,0.007,0.021,0.002,1978
SS-6.0-36_CCOB Interchange 01 OG_20191003_20191010,CCOB_INTERCHANGE_01_OG,2019-10-03,2019-10-10,pre,NA,10.822,0.684,6.025,0.14,1.092,3.081,0.441,0.014,0.033,0.006,0.089,1.06,1.099,0.004,0.018,0.007,0.499,0.012,0.026,0.222,0.19,0.199,0.1,0.049,0.119,0.053,0.245,0.011,0.341,0.086,0.041,0.169,0.041,0.131,0.016,0.053,0.144,0.03,0.012,0.018,0.015,0.005,0.009,0.035,0.114,0.078,0.011,0.007,0.041,0.002,1967
SS-6.0-38_CCOB Interchange 01 OG_20191010_20191017,CCOB_INTERCHANGE_01_OG,2019-10-10,2019-10-17,pre,NA,26.605,1.048,14.82,0.195,2.573,7.324,0.924,0.008,0.021,0.006,0.266,2.518,3.07,0.013,0.018,0.007,1.676,0.011,0.074,0.765,0.333,0.613,0.328,0.131,0.468,0.206,1.035,0.024,0.691,0.222,0.142,0.462,0.113,0.457,0.008,0.114,0.178,0.019,0.012,0.024,0.015,0.005,0.009,0.037,0.102,0.078,0.011,0.007,0.016,0.002,2030
SS-6.0-48_CCOB Interchange 02 OG_20191017_20191024,CCOB_INTERCHANGE_02_OG,2019-10-17,2019-10-24,pre,NA,15.159,0.528,8.295,0.176,1.463,4.296,0.309,0.027,0.091,0.018,0.167,1.44,1.796,0.004,0.018,0.007,1.071,0.004,0.044,0.532,0.23,0.545,0.167,0.058,0.254,0.117,0.709,0.011,0.452,0.165,0.09,0.353,0.073,0.264,0.008,0.084,0.157,0.024,0.012,0.019,0.015,0.005,0.009,0.033,0.099,0.078,0.011,0.007,0.009,0.002,1909
SS-6.0-10_CCOB Interchange 01 OG_20191017_20191024,CCOB_INTERCHANGE_01_OG,2019-10-17,2019-10-24,pre,NA,15.63,0.526,8.97,0.108,1.534,4.313,0.397,0.013,0.022,0.006,0.156,1.352,1.639,0.004,0.018,0.007,0.966,0.007,0.044,0.523,0.219,0.384,0.185,0.061,0.221,0.109,0.676,0.011,0.419,0.184,0.102,0.376,0.068,0.273,0.008,0.085,0.183,0.009,0.012,0.02,0.015,0.005,0.009,0.031,0.126,0.078,0.011,0.007,0.009,0.002,2029
SS-6.0-16_CCOB Interchange 01 OG_20191024_20191031,CCOB_INTERCHANGE_01_OG,2019-10-24,2019-10-31,pre,NA,23.504,1.107,13.941,0.187,2.421,7.033,0.746,0.021,0.026,0.013,0.225,2.184,2.706,0.004,0.018,0.007,1.414,0.015,0.053,0.6,0.295,0.505,0.254,0.106,0.376,0.158,0.734,0.011,0.492,0.155,0.085,0.306,0.063,0.301,0.008,0.077,0.11,0.009,0.012,0.017,0.015,0.005,0.009,0.029,0.055,0.078,0.011,0.007,0.01,0.005,2051
SS-6.0-19_CCOB Interchange 01 OG_20191031_20191107,CCOB_INTERCHANGE_01_OG,2019-10-31,2019-11-07,pre,NA,45.272,1.859,28.209,0.267,4.88,14.113,1.282,0.02,0.045,0.016,0.443,4.258,5.34,0.004,0.018,0.007,2.628,0.018,0.098,1.152,0.552,0.903,0.445,0.167,0.565,0.272,1.429,0.1,1.109,0.451,0.226,0.674,0.153,0.56,0.018,0.18,0.296,0.038,0.012,0.04,0.015,0.018,0.009,0.067,0.206,0.078,0.011,0.007,0.022,0.007,2290
SS-6.0-09_CCOB Interchange 01 OG_20191107_20191114,CCOB_INTERCHANGE_01_OG,2019-11-07,2019-11-14,pre,NA,30.683,1.721,17.428,0.303,3.173,8.754,1.086,0.036,0.048,0.022,0.263,2.758,3.168,0.008,0.018,0.007,1.595,0.015,0.072,0.748,0.363,0.572,0.34,0.144,0.428,0.202,1.028,0.023,0.764,0.228,0.146,0.499,0.114,0.503,0.008,0.139,0.205,0.023,0.012,0.032,0.015,0.018,0.009,0.062,0.114,0.078,0.011,0.007,0.023,0.009,2236
